Time,RPM,Engine_Temp,Oil_Pressure,Vibration,Fuel_Rate,Crankshaft,Overheating,Lubricant,Misfires,Piston,Starter,Temperature,Humidity,Altitude,Load_Percent,Temp_Gradient,Vibration_Rolling,Env_Stress_Index,Fault_Simulated,Sensor_Noise_Level,Env_Scenario,Fault_Progression_Stage,Progression_Sequence_ID,Has_Missing_Values,Missing_Value_Count,Decision
t1,3427.0280686678366,122.0977739245771,2.2313826499994276,0.6730136091527698,8.4975863606383,12.55646266614048,19.371728379485354,8.101358964314016,6.896477806689951,12.504984890238918,328.00125351451914,29.68231982503259,69.60582334554074,453.3564122134449,74.53994068119358,0.96,0.673,0.474,1,Medium,Normal,None,-1,1,1,Moderate
t2,2797.8851595115802,104.46163796919568,2.9603488622771814,0.5104910502224231,8.136054382015613,13.557724350788341,16.56957504617308,8.608959011385414,5.594371307691191,9.978682722138446,351.2751769860798,23.785822291324088,57.50851138254624,2616.4056506819193,53.02801399906358,-17.0,0.592,0.593,0,Medium,Normal,None,-1,1,2,Minor
t3,2452.815928717972,90.46025109149282,3.5897072137253394,0.34692045504018226,6.036997694151939,8.157218075640392,14.902605250451547,11.601615228505523,3.257836953121755,10.531082358227641,375.7080611271097,19.353291615920693,50.835118768071965,1681.1287976462254,35.55946214584121,-14.0,0.51,0.468,0,Medium,Normal,None,-1,1,1,Good
t4,3000.9400878822394,105.01219089374266,3.137141352473815,0.5373597553889047,6.895555512174765,8.893565359083361,18.54797732829735,11.47924135374214,4.463073520279284,8.83316364071253,344.46870900442127,22.414913162952622,83.06747046618881,1709.9211214975594,63.00546694660332,15.09,0.517,0.564,1,Medium,Normal,None,-1,1,1,Minor
t5,2752.0772701962333,107.39532377364256,3.1612445966264073,0.62783277302567,7.491580345676038,9.496422653659588,16.031139735772076,12.575482231248643,4.914836449518894,8.308598101637035,388.64248704421027,23.16048876387241,62.38351091150552,1399.963501699477,56.13616735897962,2.56,0.539,0.495,0,Medium,Normal,None,-1,1,1,Minor
t6,3480.023830333797,120.76979105572289,2.255380464019466,0.8458162561316415,8.892557446978156,13.16470732246636,23.70663665594351,9.639829592141211,6.520219255720972,10.243827138176762,338.8913021212747,25.394428922535493,77.26238471640924,2009.1572737893837,79.61860744530172,14.27,0.574,0.596,1,Medium,Normal,None,-1,0,0,Moderate
t7,2479.1439447913613,91.51147699466166,3.2418727538985985,0.28395207937151046,5.188088596603788,8.237612436622985,13.576945570892361,11.201806392981172,3.045886468408649,7.131573952065796,380.12304347930905,20.23423314168797,46.33304759563822,2240.695005725501,30.27359044188774,-29.26,0.528,0.512,0,Medium,Normal,None,-1,1,2,Good
t8,3439.447348413296,117.40160677039684,2.4363147420106563,0.7846698290393526,8.776565370897986,13.03067871594311,20.163341290885633,9.33540017568188,7.135111517438917,9.322139845912247,346.8055885239967,22.657489904196776,47.7255608563069,2639.348891036571,75.1221105783161,27.73,0.616,0.565,0,Medium,Normal,None,-1,1,1,Moderate
t9,3328.4048807639997,120.2452181972882,2.376329405780517,0.8238885188612777,8.360734648153889,11.00003353622523,19.73288544648598,8.981128568397088,6.57685464042978,11.951670263774217,370.5306018349789,24.728958407830913,52.734376375727045,558.6682419288256,80.6143314472288,3.51,0.673,0.412,1,Medium,Normal,None,-1,1,3,Moderate
t10,2244.871352050873,93.57606512430391,3.955208328244273,0.27667936538094035,5.694741488238185,7.671992172983897,11.725992634679152,12.817384519626604,2.499063187100716,6.226491899619099,402.825202116138,24.96400494760012,66.20773075207788,815.9789287807176,31.725227644789904,-26.67,0.603,0.466,0,Medium,Normal,None,-1,0,0,Good
