Crankshaft,Overheating,Lubricant,Misfires,Piston,Starter,Decision,Temperature,Humidity,Altitude
14.210746584236817,14.017166487943337,13.023493537744706,8.379581252604572,5.557230824082884,381.3823623741395,Moderate,22.49080237694725,52.41844910800191,2189.994932969911
12.056896663276566,12.180711373924568,9.34703780287033,9.60787012948552,13.467470342215929,306.209127334744,Good,34.01428612819832,49.974725773884195,553.5359867961347
20.059161372401068,11.897912380610341,6.9832937836570235,6.487962310534203,7.4975782630257655,375.0239086807958,Minor,29.6398788362281,40.5692347501716,1039.9190831096585
7.427401338801049,12.993920934500428,12.629177317428448,4.981812412440709,7.130648758489453,377.7824366827392,Minor,26.973169683940732,66.43600020608928,1989.8419105734547
14.848009219446848,10.974425940580787,9.00337667899878,5.72087495293732,6.826558175014609,372.8938679370743,Good,18.12037280884873,58.59744963051773,1446.2680335734399
16.128646840637938,12.628815747976503,10.578421766799334,8.306269908503975,12.768511645035138,319.3300196316421,Minor,18.119890406724053,81.94205953944022,2215.7131159046817
17.41062341475459,14.033669103937962,6.558318163152885,7.016242653861373,14.763771902276863,344.9511855114047,Good,16.161672243363988,31.926574828923496,2883.6237036685793
10.438398680384925,15.717272680925365,11.497829973746459,6.535551628729881,12.05858134725012,326.208052991264,Minor,32.3235229154987,68.63207565330758,349.6400631455925
16.257901933680746,17.124901520093953,8.696525731374187,3.8855510931860606,12.635831906981279,316.654792408021,Critical,27.022300234864176,75.77693271069367,2128.703149194183
9.836514583547693,15.442135126458307,7.974674287989541,9.222769298691421,10.61614921884317,345.7709383283345,Critical,29.16145155592091,75.56919415129842,691.0324668963435
11.82011411272938,24.060101025735506,14.765935676133905,8.500880847260513,9.838255055719625,296.38878509559237,Moderate,15.411689885916049,83.1644380257315,1243.4301822227078
18.01146201541479,19.31538114804342,8.945553727870669,3.96213748848001,13.477086420871704,376.98983786676206,Moderate,34.39819704323989,73.74202456976965,98.58817738541947
19.369776498316416,21.82384694839602,12.241198277062248,5.723978211715973,5.564578959142865,321.15521798988124,Good,31.648852816008436,85.66860369886177,407.72214687809685
15.391562752183184,23.26819479280404,11.65125975088875,6.493899849856454,5.645872186976758,364.49983163860384,Moderate,19.246782213565524,49.95939598925349,959.3318671466991
11.373667734383154,13.679149886098218,5.568664017154757,6.93463006255937,12.002521213504984,433.1849548195665,Minor,18.636499344142013,60.19256500509258,1025.9574158639548
18.0746191885212,16.458585172018147,12.01952605693925,6.0306304673439906,7.321556623049222,395.0516734065094,Minor,18.668090197068675,30.84477979697344,2698.755649386287
5.292189891913345,15.564428083973606,8.88720937492398,8.26292819071862,10.30540511978755,351.65405141686637,Good,21.084844859190753,30.417455238197473,2225.438727799545
6.176036531578301,16.742997034254838,13.392460730155271,3.6121582301586797,13.186035982228768,371.92160825294565,Critical,25.495128632644757,44.407597227091195,2916.5489045611234
